ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,INTERNA_OZNAKA_ODDANIH_PROSTOROV,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_ODDANIH_PROSTOROV,OPREMLJENOST_ODDANIH_PROSTOROV,MIKROLOKACIJA_ODDANIH_PROSTOROV,IZLOZBA,NAKUPOVALNI_CENTER,POVRSINA_ODDANIH_PROSTOROV,POVRSINA_ODDANIH_PROSTOROV_ENAKA_DELU_STAVBE,POGODBENA_NAJEMNINA_POSAMEZNIH_ODDANIH_PROSTOROV,OPOMBE_O_ODDANIH_PROSTORIH,LETO_IZGRADNJE_STAVBE,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA_DELA_STAVBE,PROSTORI_DELA_STAVBE,UPORABNA_POVRSINA_ODDANIH_PROSTOROV,GOSTINSKI_VRT,VKLJUCENOST_GOSTINSKEGA_VRTA_V_NAJEMNINO,POVRSINA_GOSTINSKEGA_VRTA,E_CENTROID,N_CENTROID,LETO
516002,2052,LANIŠE,GORENJA VAS-POLJANE,50,3,,SOVODENJ,SOVODENJ,23,,3,6,0,2,,,67.8,,,,1950,"49 - Banka, pošta, zavarovalnica",pritličje,,67.8,67.8, poslovni prostor,67.8,,,,425591.51,105505.81,2025
633314,1871,TRBOVLJE,TRBOVLJE,2313,26,26,TRBOVLJE,TRG REVOLUCIJE,16,,26,2,1,,,,44.4,,,"Stanovanje je delno opremljeno. Zaradi investicijskih vlaganj (zamenjava vhoda, notranjih vrat, prestavitev stene ipd) se za obdobje 6 mesecev najemniku prizna 50% popust na najemnino.",1970,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,,44.4,40.9," bivalni prostor | klet | odprta terasa, balkon, loža",,,,,503242.83,111836.39,2025
633312,1871,TRBOVLJE,TRBOVLJE,2139,8,26,TRBOVLJE,TRG REVOLUCIJE,10,A,8,2,1,,,,42.8,,,"Stanovanje je delno opremljeno. Zaradi investicijskih vlaganj (zamenjava vhoda, notranjih vrat, prestavitev stene ipd) se za obdobje 6 mesecev najemniku prizna 50% popust na najemnino.",1975,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,,42.8,38.9," bivalni prostor | klet | zaprta terasa, balkon, loža",38.9,,,,503080.1,111885.43,2025
753787,2636,BEŽIGRAD,LJUBLJANA,1007,1,soba št. 6,LJUBLJANA,VOJKOVA CESTA,49,,,16,1,,,,18,,,,1940,1 - Stanovanje v enostanovanjski stavbi,pritličje,,158.4,118.8," bivalni prostor | klet | shramba, sušilnica, pralnica",,,,,462730.23,103513.06,2025
811896,1738,DRAVLJE,LJUBLJANA,1791,3,N10,LJUBLJANA,CESTA LJUBLJANSKE BRIGADE,9,A,3,5,1,3,,,19.4,,,,1970,9 - poslovni del stavbe,pritličje,,498.8,498.8, poslovni prostor,19.4,,,,460000.33,104801.1,2025
821290,2679,GRADIŠČE II,LJUBLJANA,209,1,,LJUBLJANA,ŠKRABČEVA ULICA,12, ,,16,1,,,,160,,,,1959,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,,282.2,202.9," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",33,,,,460495.19,101303.22,2025
821289,2679,GRADIŠČE II,LJUBLJANA,209,1,,LJUBLJANA,ŠKRABČEVA ULICA,12, ,,16,1,,,,160,,,,1959,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,,282.2,202.9," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",33,,,,460495.19,101303.22,2025
821310,2626,IZOLA,IZOLA,415,1,,IZOLA,KOPRSKA ULICA,14,,2,8,0,2,,,30,,,,1967,10 - trgovski del stavbe,pritličje,,30,19.5," lokal, prodajalna",19.5,,,,395261.52,45068.84,2025
884792,660,STUDENCI,MARIBOR,725,1,0,,,,,,5,1,3,,,550,,,,1960,9 - poslovni del stavbe,pritličje,,149,149, poslovni prostor | poslovni prostor,50,,,,548335.42,157338.37,2025
884792,660,STUDENCI,MARIBOR,725,1,0,,,,,,5,1,2,,,50,,,,1960,9 - poslovni del stavbe,pritličje,,149,149, poslovni prostor | poslovni prostor,50,,,,548335.42,157338.37,2025
884792,660,STUDENCI,MARIBOR,724,1,,,,,,,11,1,,,,544,,,,1960,17 - del stavbe za industrijsko rabo,pritličje,,704,704, proizvodni in skladiščni prostor,544,,,,548368.66,157326.45,2025
884819,1095,VITANJE,VITANJE,360,1,,VITANJE,POD STENICO,9,,,1,1,,,,14,,,,1987,1 - stanovanje v enostanovanjski stavbi,pritličje,,375.7,309.3," bivalni prostor | odprta terasa, balkon, loža",,,,,523107.11,138050.38,2025
850681,1005,PREBOLD,PREBOLD,925,72,72,DOLENJA VAS,DOLENJA VAS,166,,37,2,1,,,,70.5,,,Stanovanje je v celoti opremljeno. Specifikacija opreme je razvidna iz priloge k pogodbi,2007,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,,70.5,62.3, bivalni prostor,,,,,506542.3,122271.82,2025
894996,1696,RUDNIK,LJUBLJANA,2604,1,,LJUBLJANA,CVETKOVA ULICA,29,,,5,1,3,,,515.94,,,,2003,9 - poslovni del stavbe,pritličje,,1335.5,883.2, poslovni prostor,,,,,464142.42,98363.75,2025
894980,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,640,PM 268,,,,,,3,1,,,,12.5,,,,2005,1242002 - garaža v garažni hiši,klet,,12.5,12.5, garaža,12.5,,,,461237.97,99820.92,2025
894988,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,668,PM 269,,,,,,4,1,,,,12.4,,,,2005,15 - garaža,klet,,12.4,12.4, garaža,12.4,,,,461244.14,99818.85,2025
894974,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,719,,,,,,,3,0,,,,12.6,,,,2005,15 - garaža,klet,,12.5,12.5, garaža,12.6,,,,461244.14,99818.85,2025
894977,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,682,,,,,,,3,0,,,,12.4,,,,2005,15 - Garaža,klet,,12.4,12.4, garaža,12.4,,,,461253.78,99798.2,2025
894999,1696,RUDNIK,LJUBLJANA,2604,1,,LJUBLJANA,CVETKOVA ULICA,29,,,5,1,3,,,515.94,,,,2003,9 - poslovni del stavbe,pritličje,,1335.5,883.2, poslovni prostor,,,,,464142.42,98363.75,2025
894970,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,727,1722 7643 727,,,,,,3,0,,,,12.3,,,,2005,1242002 - Garaža,klet,,12.3,12.3, garaža,12.3,,,,461237.97,99820.92,2025
894970,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,729,1722 7643 729,,,,,,3,0,,,,12.5,,,,2005,1242002 - Garaža,klet,,12.5,12.5, garaža,12.5,,,,461237.97,99820.92,2025
894970,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,730,1722 7643 730,,,,,,3,0,,,,12.3,,,,2005,1242002 - Garaža,klet,,12.3,12.3, garaža,12.3,,,,461237.97,99820.92,2025
894970,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,731,1722 7643 731,,,,,,3,0,,,,12.3,,,,2005,1242002 - Garaža,klet,,12.3,12.3, garaža,12.3,,,,461237.97,99820.92,2025
894970,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,756,1722 7643 756,,,,,,3,0,,,,12.5,,,,2005,1242002 - Garaža,klet,,12.5,12.5, garaža,12.5,,,,461237.97,99820.92,2025
894981,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,658,PM 269,,,,,,3,1,,,,12.4,,,,2005,15 - garaža,klet,,12.5,12.5, garaža,12.4,,,,461244.14,99818.85,2025
894983,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,700,1722 7643 696,,,,,,3,0,,,,11.7,,,,2005,15 - garaža,klet,,12.4,12.4, garaža,,,,,461244.14,99818.85,2025
894986,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,571,C1,LJUBLJANA,BARJANSKA CESTA,58,,571,5,0,2,,,112.95,,,,2005,9 - poslovni del stavbe,pritličje,,339.7,339.7, poslovni prostor,112.95,,,,461253.78,99798.2,2025
894988,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,707,PM 269,,,,,,4,1,,,,12.4,,,,2005,15 - garaža,klet,,12.4,12.4, garaža,12.4,,,,461244.14,99818.85,2025
894974,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,725,,,,,,,3,0,,,,12.6,,,,2005,15 - garaža,klet,,12.5,12.5, garaža,12.6,,,,461244.14,99818.85,2025
894977,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,675,,,,,,,3,0,,,,12.4,,,,2005,15 - Garaža,klet,,12.4,12.4, garaža,12.4,,,,461253.78,99798.2,2025
894970,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,561,B1,Ljubljana,Barjanska cesta,54,,561,5,0,2,,,367.08,,,,2005,1220301 - Poslovni prostori,pritličje,,433.3,433.3, poslovni prostor,325.45,,,,461237.97,99820.92,2025
