"sifra_ko","obcina"
1,"HODOŠ"
2,"MORAVSKE TOPLICE"
3,"ŠALOVCI"
4,"ŠALOVCI"
5,"ŠALOVCI"
6,"ŠALOVCI"
7,"GORNJI PETROVCI"
8,"GORNJI PETROVCI"
9,"GORNJI PETROVCI"
10,"GORNJI PETROVCI"
11,"GORNJI PETROVCI"
12,"GORNJI PETROVCI"
13,"GORNJI PETROVCI"
14,"GORNJI PETROVCI"
15,"GORNJI PETROVCI"
16,"GORNJI PETROVCI"
17,"ŠALOVCI"
18,"HODOŠ"
19,"ŠALOVCI"
20,"GORNJI PETROVCI"
21,"GORNJI PETROVCI"
22,"GORNJI PETROVCI"
23,"KUZMA"
24,"KUZMA"
25,"KUZMA"
26,"KUZMA"
27,"KUZMA"
28,"ROGAŠOVCI"
29,"ROGAŠOVCI"
30,"ROGAŠOVCI"
31,"ROGAŠOVCI"
32,"ROGAŠOVCI"
33,"ROGAŠOVCI"
34,"ROGAŠOVCI"
35,"ROGAŠOVCI"
36,"ROGAŠOVCI"
37,"GRAD"
38,"GRAD"
39,"GRAD"
40,"PUCONCI"
41,"PUCONCI"
42,"PUCONCI"
43,"GRAD"
44,"PUCONCI"
45,"GRAD"
46,"GRAD"
47,"GRAD"
48,"ROGAŠOVCI"
49,"ROGAŠOVCI"
50,"CANKOVA"
51,"CANKOVA"
52,"PUCONCI"
53,"PUCONCI"
54,"PUCONCI"
55,"PUCONCI"
56,"PUCONCI"
57,"GORNJI PETROVCI"
58,"PUCONCI"
59,"PUCONCI"
60,"PUCONCI"
61,"PUCONCI"
62,"PUCONCI"
64,"PUCONCI"
65,"CANKOVA"
66,"CANKOVA"
67,"CANKOVA"
68,"CANKOVA"
69,"CANKOVA"
70,"CANKOVA"
71,"PUCONCI"
72,"PUCONCI"
73,"PUCONCI"
74,"PUCONCI"
75,"PUCONCI"
76,"PUCONCI"
77,"PUCONCI"
78,"MORAVSKE TOPLICE"
79,"PUCONCI"
80,"MORAVSKE TOPLICE"
81,"MORAVSKE TOPLICE"
82,"MORAVSKE TOPLICE"
83,"MORAVSKE TOPLICE"
84,"MORAVSKE TOPLICE"
85,"MORAVSKE TOPLICE"
86,"MORAVSKE TOPLICE"
87,"MORAVSKE TOPLICE"
88,"MORAVSKE TOPLICE"
89,"MORAVSKE TOPLICE"
90,"MORAVSKE TOPLICE"
91,"MORAVSKE TOPLICE"
92,"MURSKA SOBOTA"
92,"MORAVSKE TOPLICE"
93,"MORAVSKE TOPLICE"
94,"MORAVSKE TOPLICE"
95,"MORAVSKE TOPLICE"
96,"MORAVSKE TOPLICE"
97,"MORAVSKE TOPLICE"
98,"MORAVSKE TOPLICE"
99,"MORAVSKE TOPLICE"
100,"MORAVSKE TOPLICE"
101,"MORAVSKE TOPLICE"
102,"MORAVSKE TOPLICE"
103,"MORAVSKE TOPLICE"
104,"MURSKA SOBOTA"
105,"MORAVSKE TOPLICE"
105,"MURSKA SOBOTA"
106,"MORAVSKE TOPLICE"
107,"MURSKA SOBOTA"
107,"MORAVSKE TOPLICE"
108,"MURSKA SOBOTA"
109,"MURSKA SOBOTA"
